他感冒了。	tā gǎnmào le	He caught a cold.
某人能去请求改变判决的民事法院或刑事法院。这两种法院的裁决对高等法院和下级法院全都有拘束力。	mǒurén néng qù qǐngqiú gǎibiàn pànjué de mínshì fǎyuàn huò xíngshìfǎyuàn zhè liǎng zhǒng fǎyuàn de cáijué duì gāoděngfǎyuàn hé xiàjí fǎyuàn quándōu yǒu jūshù lì	Civil or criminal court to which a person may go to ask for a sentence to be changed and of which the decision be binding on the high court and lower court.
部分能量能以与它主要传播方向相反的方向从一个机械部件传到另一个机械部件，那就是我们所称的反馈。	bùfen néngliàng néng yǐ yǔ tā zhǔyào chuánbō fāngxiàng xiāngfǎn de fāngxiàng cóng yī gè jīxiè bùjiàn chuán dào lìngyī gè jīxiè bùjiàn nà jiùshì wǒmen suǒ chēng de fǎnkuì	Part of the energy can be transferred from one part of a mechanism to another, in a direction opposite to its main flow. That's what we call feedback.
用暴力威胁侵犯他人身体犯罪行为应与殴打罪区别开来。其区别是，前者是用暴力相威胁而后者是实际上的使用暴力。	yòng bàolì wēixié qīnfàn tārén shēntǐ fànzuìxíngwéi yīng yǔ ōudǎzuì qūbié kāi lái qí qūbié shì qiánzhě shì yòng bàolì xiāng wēixié ér hòuzhě shì shíjìshàng de shǐyòng bàolì	Assault shall be distinguished from battery, in that assault is the threat of violence, whereas battery is actual violence.
水闸用门关住的水道的一部分，如运河。其中通过升高或降低这部分的水位可以抬升或压低运输中的船只	shuǐzhá yòng mén guān zhù de shuǐdào de yībùfèn rú yùnhé qízhōng tōngguò shēnggāo huò jiàngdī zhè bùfen de shuǐwèi kěyǐ tái shēng huò yādī yùnshū zhòngdì chuánzhī	A section of a waterway, such as a canal, closed off with gates, in which vessels in transit are raised or lowered by raising or lowering the water level of that section.
病人情况危急，因而需要手术，但又无法保证她是否能经受得住麻醉剂，外科医生处于进退两难的境地。	bìngrén qíngkuàng wēijí yīn'ér xūyào shǒushù dàn yòu wúfǎ bǎozhèng tā shìfǒu néng jīngshòu dé zhù mázuìjì wàikēyīshēng chǔyú jìntuìliǎngnán de jìngdì	The patient's condition was critical and she needed an operation but there was no guarantee that she would survive the anaesthetic; the surgeon was on the horns of a dilemma.
切换镜头一种中断电影的主要情节画面的连续性的简短镜头，通常用来描绘相关事件或可能同时发生的情节	qiēhuàn jìngtóu yīzhǒng zhōngduàn diànyǐng de zhǔyào qíngjié huàmiàn de liánxùxìng de jiǎnduǎn jìngtóu tōngcháng yònglái miáohuì xiāngguān shìjiàn huò kěnéng tóngshí fāshēng de qíngjié	A brief shot that interrupts the visual continuity of the main action of a film, often to depict related matter or supposedly concurrent action.
库存品已经变质，而且全都搞混了，因此经理决定快刀斩乱麻，把它们当作废品出售，然后重新储藏新的物资。	kùcún pǐn yǐjīng biànzhì érqiě quándōu gǎohùn le yīncǐ jīnglǐ juédìng kuàidāozhǎnluànmá bǎ tāmen dàngzuò fèipǐn chūshòu ránhòu chóngxīn chǔcáng xīn de wùzī	The old stock had deteriorated and was all mixed up so the manager decided to cut the Gordian knot, sell it all as scrap, and re-stock with new materials.
绞车，起货机一种装有卷筒的固定的电动机驱动或手动的吊升机械，卷筒周围缠绕着与提升的重物相连的绳索	jiǎochē qǐ huòjī yīzhǒng zhuāngyǒu juǎn tǒng de gùdìng de diàndòngjī qūdòng huò shǒudòng de diào shēng jīxiè juǎn tǒng zhōuwéi chánrào zhe yǔ tíshēng de zhòngwù xiānglián de shéngsuǒ	A stationary motor-driven or hand-powered hoisting machine having a drum around which is wound a rope or chain attached to the load being lifted.
当数据从一个设备传送到另一个设备时，用于补偿数据流速率差或事件发生时间差的一种例行程序或存储器。	dāng shùjù cóng yī gè shèbèi chuánsòng dào lìngyī gè shèbèi shí yòngyú bǔcháng shùjùliú sùlǜ chà huò shìjiàn fāshēng shíjiān chà de yīzhǒng lìxíng chéngxù huò cúnchǔqì	A routine or storage used to compensate for a difference in rate of flow of data, or time of occurrence of events, when transferring data from one device to another.
奇异风格，形状怪诞的图案一种自然的形式和奇异的图形以一种奇异或古怪的方式结合在一起的绘画雕塑和装饰风格	qíyì fēnggé xíngzhuàng guàidàn de tú'àn yīzhǒng zìrán de xíngshì hé qíyì de túxíng yǐ yīzhǒng qíyì huò gǔguài de fāngshì jiéhé zàiyīqǐ de huìhuà diāosù hé zhuāngshì fēnggé	A style of painting, sculpture, and ornamentation in which natural forms and monstrous figures are intertwined in bizarre or fanciful combinations.
最近几个月，泰恩经历了一系列失败的捕捞，老板对他非常不满，于是他决定在捕鱼季节结束前再一次出海。	zuìjìn jǐge yuè tài ēn jīnglì le yīxìliè shībài de bǔlāo lǎobǎn duì tā fēicháng bùmǎn yúshì tā juédìng zài bǔyú jìjié jiéshù qián zàiyīcì chūhǎi	For several months Tyne has had a run of disappointing catches, and his boss was quite dissatisfied with him. So he decides to make one more trip before the end of the fishing season.
如果这种婚姻出自一个女人的自愿选择，甚至是不顾亲友的劝告而选择的，那么就让她自己去品尝这枚果实的滋味吧。	rúguǒ zhèzhǒng hūnyīn chūzì yī gè nǚrén de zìyuàn xuǎnzé shènzhì shì bùgù qīnyǒu de quàngào ér xuǎnzé de nàme jiù ràng tā zìjǐ qù pǐncháng zhè méi guǒshí de zīwèi ba	But this never fails, if the bad husbands were of their own choosing, against their friends consent; for then they will be sure to make good their own folly.
路易斯制造的局面使得该政府首脑不仅能够在竞选中弄虚作假，而且还可以肆意侵吞联邦公款，除掉可能的竞争对手。	Lùyìsī zhìzào de júmiàn shǐde gāi zhèngfǔshǒunǎo bùjǐn nénggòu zài jìngxuǎn zhōng nòngxūzuòjiǎ érqiě hái kěyǐ sìyì qīntūn liánbāng gōngkuǎn chúdiào kěnéng de jìngzhēng duìshǒu	Lewis had created a situation whereby it was possible for the man at the top to fiddle elections, embezzle union funds and do away with potential rivals.
一种能动态重新安排存储器的处理技术，即把各连续已用的存储段移到存储器的一端，把未使用的存储空间集中到存储器的另一端。	yīzhǒng néng dòngtài chóngxīn ānpái cúnchǔqì de chǔlǐ jìshù jí bǎ gè liánxù yǐ yòng de cúnchǔ duàn yídào cúnchǔqì de yī duān bǎ wèi shǐyòng de cúnchǔ kōngjiān jízhōng dào cúnchǔqì de lìngyī duān	A process of dynamic relocation in which contiguous segments are moved to one end of the memory to combine all unused storage at the other end.
磁控管一种微波管，它里面的发热阴极发出的电子受到磁场和电场的影响，从而产生能用于雷达和微波炉微波辐射	cíkòngguǎn yīzhǒng wēibō guǎn tā lǐmiàn de fārè yīnjí fāchū de diànzǐ shòudào cíchǎng hé diànchǎng de yǐngxiǎng cóng'ér chǎnshēng néng yòngyú léidá hé wēibōlú wēibō fúshè	A microwave tube in which electrons generated from a heated cathode are affected by magnetic and electric fields in such a way as to produce microwave radiation used in radar and in microwave ovens.
比尔的母亲为比尔所属的俱乐部会员们准备热狗当点心，汤姆的母亲因此说她要招待得更好，除了给你们热狗外，另再加冰淇淋。	Bǐ'ěr de mǔqīn wéi Bǐ'ěr suǒshǔ de jùlèbù huìyuán men zhǔnbèi règǒu dāng diǎnxin Tāngmǔ de mǔqīn yīncǐ shuō tā yào zhāodài dé gèng hǎo chúle gěi nǐmen règǒu wài lìng zài jiā bīngqílín	Bill's mother gave the boys in Bill's club hot dogs for refreshments, so Tom's mother said that she would go her on better next time by giving them ho dogs and icecream.
中立船证由联盟的外国政府颁发给船只的一种官方文件，尤指战时授权中立商船在特定水城内自由进出和航行的文件	zhōnglì chuán zhèng yóu liánméng de wàiguó zhèngfǔ bān fāgěi chuánzhī de yīzhǒng guānfāng wénjiàn yóuzhǐ zhànshí shòuquán zhōnglì shāngchuán zài tèdìng Shuǐchéng nèi zìyóu jìnchū hé hángxíng de wénjiàn	An official document issued by an allied foreign government to a ship, especially a neutral merchant ship in time of war, authorizing it to enter and travel through certain waters freely.
哈吉司羊肉一种苏格兰菜，由绵羊或牛切碎的心，肺，肝与板油，洋葱，燕麦片和调味料混合在被屠宰动物的腹中煮熟而成	hājí sī yángròu yīzhǒng Sūgélán cài yóu miányáng huò niú qiēsuì de xīn fèi gān yǔ bǎnyóu yángcōng yànmài piàn hé tiáowèiliào hùnhé zài bèi túzǎi dòngwù de fù zhōng zhǔshóu ér chéng	A Scottish dish consisting of a mixture of the minced heart, lungs, and liver of a sheep or calf mixed with suet, onions, oatmeal, and seasonings and boiled in the stomach of the slaughtered animal.
这是一个应该避免使用的非正式术语。该术语有时用于一种逻辑元件，这种逻辑元件可以实现特定的功能或在变量之间提供链接。	zhè shì yī gè yīnggāi bìmiǎn shǐyòng de fēizhèngshì shùyǔ gāi shùyǔ yǒushí yòngyú yīzhǒng luóji yuánjiàn zhèzhǒng luóji yuánjiàn kěyǐ shíxiàn tèdìng de gōngnéng huò zài biànliàng zhījiān tígōng liànjiē	An improper term to be avoided. This term is sometimes used to designate a logic element which performs a specific function or provides a linkage between variables.
当飞机上的灯一下子熄灭时，旅客显得很紧张，但当机长告诉他们这只不过是一次电气故障，很快就会修好时，他们才放下心来。	dāng fēijī shàng de dēng yīxiàzi xīmiè shí lǚkè xiǎnde hěn jǐnzhāng dàn dàngjī cháng gàosu tāmen zhè zhǐbuguò shì yīcì diànqì gùzhàng hěn kuài jiù huì xiūhǎo shí tāmen cái fàngxia xīn lái	The passengers became alarmed when the lights went out on the plane, but the captain put their minds at rest when he told them it was only a minor electrical fault and it would soon be repaired.
在数据保密学中，通过合法访问数据的进程将数据传输给未授权的用户的过程。例如，编译程序在编译期间便可能泄漏专用程序。	zài shùjù bǎomì xué zhōng tōngguò héfǎ fǎngwèn shùjù de jìnchéng jiāng shǔ jùchuán shūgěi wèi shòuquán de yònghù de guòchéng lìrú biānyì chéngxù zài biānyì qījiān biàn kěnéng xièlòu zhuānyòng chéngxù	In data security, the transmission of data to unauthorized users by processes with legitimate access to data. A compiler, for example, could leak a proprietary program whilst it is being compiled.
鉴别器，鉴频器一种将输入信号的某一特征，如频率或相位转变为幅度变化装置，其变化大小因信号与标准或参考信号的不同程度而异	jiànbié qì jiàn pín qì yīzhǒng jiāng shūrù xìnhào de mǒu yī tèzhēng rú pínlǜ huò xiàngwèi zhuǎnbiàn wéi fúdù biànhuà zhuāngzhì qí biànhuà dàxiǎo yīn xìnhào yǔ biāozhǔn huò cānkǎo xìnhào de bùtóng chéngdù ér yì	A device that converts a property of an input signal, such as frequency or phase, into an amplitude variation, depending on how the signal differs from a standard or reference signal.
饮食失常一种饮食无序，在这种情况下，一个人常常处于不正常的贪食和厌食的交替状态，特点是偶尔的暴饮暴食继而又很快的引起呕吐或腹泻	yǐnshí shīcháng yīzhǒng yǐnshí wúxù zài zhèzhǒng qíngkuàng xià yīgèrén chángcháng chǔyú bùzhèngcháng de tānshí hé yànshí de jiāotì zhuàngtài tèdiǎn shì ǒu'ěr de bàoyǐnbàoshí jì'ér yòu hěn kuài de yǐnqǐ ǒutù huò fùxiè	An eating disorder in which one alternates between abnormal craving for and aversion to food. It is characterized by episodes of excessive food intake followed by periods of fasting and self-induced vomiting or diarrhea.
也许最重要的是，这些选举将使大众认识新面孔，尤其是来自反对党阵营的。这样投石问路将会测如候选人的影响力，建立知名度，并过滤问题。	yěxǔ zuì zhòngyào de shì zhèxiē xuǎnjǔ jiāng shǐ dàzhòng rènshi xīn miànkǒng yóuqíshì láizì fǎnduìdǎng zhènyíng de zhèyàng tóushíwènlù jiānghuì cè rú hòuxuǎnrén de yǐngxiǎnglì jiànlì zhīmíngdù bìng guòlǜ wèntí	Perhaps most important, these elections will put new faces before the public, especially from the opposition camp. This testing of the waters will measure the impact of the candidates, build name recognition and sift the issues.
分析家说，通过影艺公司向哈考特提出的优厚条件似乎颇有成功的希望，并应可解除这家困难重重的出版商的庞大债务负荷，而使基本上健全的营业得到生机。	fēnxījiā shuō tōngguò yǐng yì gōngsī xiàng hǎ kǎo tè tíchū de yōuhòu tiáojiàn sìhū pō yǒu chénggōng de xīwàng bìng yīng kě jiěchú zhè jiā kùnnan chóngchóng de chūbǎnshāng de pángdà zhàiwù fùhè ér shǐ jīběnshang jiànquán de yíngyè dédào shēngjī	A sweetened offer for Harcourt by General Cinema appears to have a good chance of success, analysts said, and should give the troubled publisher a new lease on life by freeing its basically sound businesses from the burden of overwhelming debt.
尽管有大量的宗教派别，研究美国宗教惯常做法的学者发现，在许多情况下，许多新教教派之间在信仰方面并没有多大的不同，只是在仪式方面有较小的差异。	jǐnguǎn yǒu dàliàng de zōngjiào pàibié yánjiū Měiguó zōngjiào guàncháng zuòfǎ de xuézhě fāxiàn zài xǔduō qíngkuàng xià xǔduō Xīnjiào jiàopài zhījiān zài xìnyǎng fāngmiàn bìng méiyǒu duōdà de bùtóng zhǐshì zài yíshì fāngmiàn yǒu jiào xiǎode chāyì	In spite of the great number of denominations, students of religious practice in the United State find that in many cases there are no major differences in belief, and only minor ones in ritual between many of the Protestant denominations.
因此，看起来政治家们取得了胜利。我惟一的想法是，他们为此付出了惨重的代价，未免得不偿失。世界上其他任何一个国家的政治家之间的分歧都没有这里的政治家之间的分歧那么大，那么公开。	yīncǐ kànqǐlái zhèngzhìjiā men qǔdé le shènglì wǒ wéiyī de xiǎngfǎ shì tāmen wèicǐ fùchū le cǎnzhòng de dàijià wèimiǎn débùchángshī shìjiè shàng qítā rènhé yī gè guójiā de zhèngzhìjiā zhījiān de fēnqí dōu méiyǒu zhèlǐ de zhèngzhìjiā zhījiān de fēnqí nàme dà nàme gōngkāi	So it looks as it the politicians have won. My only point is that it has been a Pyrrhic victory. In no country in the world are politicians held in greater or more open division than they are here.
日本公司有能力在发展与生产方面，较美国公司投资为多，是他们在半导体方面占上风的一个主要原因。现在，英泰尔计划在经济不景气时大量投资以压倒弱小竞争者。	Rìběn gōngsī yǒunénglì zài fāzhǎn yǔ shēngchǎn fāngmiàn jiào Měiguó gōngsī tóuzī wéi duō shì tāmen zài bàndǎotǐ fāngmiàn zhànshàngfēng de yī gè zhǔyào yuányīn xiànzài yīng Tài'ěr jìhuà zài jīngjì bùjǐngqì shí dàliàng tóuzī yǐ yādǎo ruòxiǎo jìngzhēngzhě	The ability to outspend American companies on development and production has been a big reason Japanese companies have made gains in the semi-conductor business. Now Intel plans to borrow a page from the Japanese by spending heavily through a recession to gain ground on weaker competitors.
以低于信号中最高频率两倍的频率进行信号取样时出现的一种效应，即当由取样状态还原时，还原后的信号将不再含有原来信号中的高频成分，并将显示出虚假的低频信号。	yǐ dīyú xìnhào zhōng zuì gāo pínlǜ liǎngbèi de pínlǜ jìnxíng xìnhào qǔyàng shí chūxiàn de yīzhǒng xiàoyìng jí dāng yóu qǔyàng zhuàngtài huányuán shí huányuán hòu de xìnhào jiāng bùzài hányǒu yuánlái xìnhào zhòngdì gāopín chéngfèn bìng jiāng xiǎnshì chū xū jiǎde dī pín xìnhào	An effect that occurs when a signal is sampled at a rate less than twice the highest frequency present in the signal.The subsequent signal recovered from the samples will not contain the high frequency component of the original signal and will display a false low frequency signal.
痴愚者一个人智能迟缓发展，仅具有7岁到12岁的智能，一般在一定程度的学术或职业教育后能够进行交流和掌握社会技术。这个词是一个集合概念，现在不再使用，并被视为带有侮辱意味	chī yú zhě yīgèrén zhìnéng chíhuǎn fāzhǎn jǐn jùyǒu suì dào suì de zhìnéng yībān zài yīdìng chéngdù de xuéshù huò zhíyèjiàoyù hòu nénggòu jìnxíng jiāoliú hé zhǎngwò shèhuì jìshù zhège cí shì yī gè jíhé gàiniàn xiànzài bùzài shǐyòng bìng bèi shìwéi dàiyǒu wǔrǔ yìwèi	A person of mild mental retardation having a mental age of from7 to12 years and generally having communication and social skills enabling some degree of academic or vocational education. The term belongs to a classification system no longer in use and is now considered offensive.
在远程通信系统中，当报文发往的工作站处于不工作状态时控制站所采取的行动，即接收并存储该报文直到该工作站恢复工作时，再由控制站将报文送给它。在报文交换系统中，控制站可以是一台计算机。	zài yuǎnchéng tōngxìn xìtǒng zhōng dāng bào wén fā wǎng de gōngzuòzhàn chǔyú bù gōngzuò zhuàngtài shí kòngzhì zhàn suǒ cǎiqǔ de xíngdòng jí jiēshōu bìngcún chǔ gāi bào wén zhídào gāi gōngzuòzhàn huīfù gōngzuò shí zài yóu kòngzhì zhàn jiāng bào wén sònggěi tā zài bào wén jiāohuàn xìtǒng zhōng kòngzhì zhàn kěyǐ shì yī tái jìsuànjī	In a remote communication system, the action taken by a control station whereby messages addressed to an inoperative station are accepted and stored at the control station until they can be sent to the destination station. The control station may be a computer in a message switching system.
你这个叛徒！	nǐ zhège pàntú	You Judas!
他多么和气！	tā duōme héqi	How kind he is!
誓言的迸发	shìyán de bèngfā	A volley of oaths.
我的宝贝儿!	wǒ de bǎobèir	My dearest treasure!
别那麽窝囊!	bié nàme wōnang	Don't be such a wimp!
你流鼻涕了!	nǐ liúbítì le	You've got a runny nose!
别这么固执！	bié zhème gùzhí	Don't be so obstinate!
她是小宝贝!	tā shì xiǎo bǎobèi	She's a little darling!
让碟子控乾.	ràng diézi kòng gān	Leave the dishes to drain.
老太婆、老妪	lǎotàipó lǎoyù	An old woman; a crone.
愿您早日康复！	yuàn nín zǎorìkāngfù	May you recover soon!
再见, 多保重!	zàijiàn duō bǎozhòng	Good bye, and take care!
她把椰子劈开了.	tā bǎ yēzi pīkāi le	She split open the coconut.
杏仁能吃吗？	xìngrén néng chī ma	Are kernels of apricots edible?
注意，油漆未干!	zhùyì yóuqī wèi gàn	Mind the wet paint!
你看到彩虹了吗？	nǐ kàn dào cǎihóng le ma	Do you see rainbow?
请勿践踏草坪。	qǐng wù jiàntà cǎopíng	Keep off the grass.
发愁於事无补.	fāchóu yú shì wúbǔ	Fretting about it won't help.
爆竹啪啪地响。	bàozhú pā pā dì xiǎng	The firecrackers popped.
溪流十分清澈。	xīliú shífēn qīngchè	The stream is very limpid.
他可不是正人君子!	tā kěbushì zhèngrénjūnzi	He's no gentleman!
卢·格里克打一垒	lú gé lǐ kè dǎ yī lěi	Lou Gehrig played first base.
大宝贝, 别哭了!	dà bǎobèi bié kū le	Stop blubbering, you big baby!
多麽荒谬的念头!	duō mó huāngmiù de niàntou	What a ridiculous idea!
那纯粹是捏造的!	nà chúncuì shì niēzào de	That's pure fabrication!
桨喀吧一声断了.	jiǎng kā ba yīshēng duàn le	The oar broke with a snap.
真是个愚蠢的白痴!	zhēnshi gè yúchǔn de báichī	What a stupid idiot!
那孩子真丢人!	nà háizi zhēn diūrén	What a performance the child made!
桃花蓓蕾枯萎了。	táo huā bèilěi kūwěi le	The peach buds aborted.
钝剪刀剪不齐.	dùn jiǎndāo jiǎn bù qí	Blunt scissors don't cut cleanly.
不协调的；不和谐的	bùxiétiáo de bù héxié de	Lacking in harmony.
你这个幸运的家伙！	nǐ zhège xìngyùn de jiāhuo	You lucky rascal!
我们打棒球如何？	wǒmen dǎ bàngqiú rúhé	Suppose we play baseball.
【谚】傻子有傻福。	yàn shǎzi yǒu shǎ fú	Fortune favours fools.
你会开车床吗?	nǐ huì kāichē chuáng ma	Do you know how to work a lathe?
这卡片有什么用?	zhè kǎpiàn yǒu shénme yòng	What's this card good for?
局势真惊人哪!	júshì zhēn jīngrén nǎ	What a shocking state of affairs!
这故事的结局如何?	zhè gùshi de jiéjú rúhé	How does this story end?
马上报告校长!	mǎshàng bàogào xiàozhǎng	Report to the Head immediately!
你怎么可以这样说？	nǐ zěnme kěyǐ zhèyàng shuō	How can you say that?
约翰攻读物理学。	Yuēhàn gōngdú wùlǐxué	John reads up on physics.
危险! 正在爆破!	wēixiǎn zhèngzài bàopò	Danger! Blasting in progress!
他殷勤地侍候她。	tā yīnqín dì shìhòu tā	He danced attendance on her.
小心那个台阶!	xiǎoxīn nàge táijiē	Mind (ie Don't trip over) that step!
吸烟有害於健康.	xīyān yǒuhài yú jiànkāng	Smoking damages your health.
你喜欢不喜欢烹调?	nǐ xǐhuan bù xǐhuan pēngtiáo	Do you go for cooking?
外面飓风呼啸著.	wàimiàn jùfēng hūxiào zhe	The hurricane screamed outside.
你想耍心眼儿吗?	nǐ xiǎng shuǎ xīnyǎnr ma	Are you trying to be clever?
你去过故宫吗？	nǐ xiǎng shuǎ xīnyǎnr ma	Have you been to the Imperial Palace?
道路[通道]畅通吗?	dàolù tōngdào chàngtōng ma	Is the way/passage free?
你这个该死的大笨蛋!	nǐ zhège gāisǐ de dà bèndàn	You frigging idiot!
我需要预约位子吗？	wǒ xūyào yùyuē wèizi ma	Do I need a reservation?
你相信有仙女吗？	nǐ xiāngxìn yǒu xiānnǚ ma	Do you believe in fairies?
月球现处於下弦.	yuèqiú xiàn chǔ yú xiàxián	The moon is in its last quarter.
我很後悔不该说那话.	wǒ hěn hòuhuǐ bùgāi shuō nà huà	I regret what I said.
你对气功怎么看？	nǐ duì qìgōng zěnme kàn	How do you feel about Qigong?
他的算术不怎麽样.	tā de suànshù bù zěnme yàng	He's not good at numbers.
你怎麽敢叫我胖子!	nǐ zěnme gǎn jiào wǒ pàngzi	How dare you call me fat!
莎士比亚葬於何处?	Shāshìbǐyà zàng yú héchù	Where is Shakespeare buried?
你的食糖有富余吗?	nǐ de shí táng yǒu fùyu ma	Do you have any sugar to spare?
膀胱能储存尿液。	pángguāng néng chǔcún niàoyè	The bladder collects urine.
【谚】吠犬不咬人。	yàn fèi quǎn bù yǎo rén	Barking dogs seldom bite.
官方的认可；同意	guānfāng de rènkě tóngyì	Official approval; sanction.
极为野蛮的；残忍的	jíwéi yěmán de cánrěn de	Extremely savage; fierce.
别七嘴八舌的！	bié qīzuǐbāshé de	Don't be all talking in confusion.
喜鹊“嘁嘁喳喳”叫。	xǐque qīqichāchā jiào	A magpie chatters.
走开吧，无聊的忧虑！	zǒukāi ba wúliáo de yōulǜ	Begone, dull care!
戈登接近禁区了。	gē dēng jiējìn jìnqū le	Gordon's near the penalty area.
严寒使树叶凋落。	yánhán shǐ shùyè diāoluò	The cold withered the leaves.
品质低劣的；寒酸的	pǐnzhì dīliè de hánsuān de	Of inferior quality; shabby.
橙子含有维生素C。	chéngzi hányǒu wéishēngsù	Oranges contain vitamin C.
请你跟我跳个舞好吗?	qǐng nǐ gēn wǒ tiào gè wǔ hǎo ma	Would you like to dance?
她露出贪婪的表情。	tā lùchū tānlán de biǎoqíng	She shows a covetous look.
你会使用车床吗?	nǐ huì shǐyòng chēchuáng ma	Do you know how to use a lathe?
相当快；相当可口	xiāngdāng kuài xiāngdāng kěkǒu	Quite soon; quite tasty.
4、6、12都是2的倍数	dōu shì de bèishù	4, 6, and 12 are multiples of 2.
爷爷，你装个妖怪！	yéye nǐ zhuāng gè yāoguài	Be a monster, grandfather!
酒存放得越久越醇。	jiǔ cúnfàng dé yuè jiǔ yuè chún	Wine improves with age.
别玩老一套的把戏了！	bié wán lǎoyītào de bǎxì le	Don't play old tricks!
你看起来多么健康啊！	nǐ kànqǐlái duōme jiànkāng ā	How well you look!
她病後仍很虚弱.	tā bìng hòu réng hěn xūruò	She was still weak after her illness.
道德败坏的；堕落的	dàodébàihuài de duòluò de	Morally corrupt; perverted.
约翰和彼得是兄弟。	Yuēhàn hé Bǐdé shì xiōngdì	John and Peter are brothers.
我的生活真是狼狈!	wǒ de shēnghuó zhēnshi lángbèi	My life's (in) a real mess!
你去过凯旋门吗？	nǐ qù guò kǎixuánmén ma	Have you been to the Triumphal Arch?
【谚】哑巴狗最危险。	yàn yǎba gǒu zuì wēixiǎn	Dumb dogs are dangerous.
这条规则生效了吗?	zhè tiáo guīzé shēngxiào le ma	Is this rule in operation yet?
议会定於明日解散.	yìhuì dìngyú míngrì jiěsàn	Parliament dissolves tomorrow.
谁将起草起诉状？	shéi jiāng qǐcǎo qǐsù zhuàng	Who will draft the indictment?
【谚】夫善则妻贤。	yàn fū shàn zé qī xián	A good husband makes a good wife.
你怎么可以这么粗鲁呢?	nǐ zěnme kěyǐ zhème cūlǔ ne	How could you be so rude?
别说这种荒唐话了!	bié shuō zhèzhǒng huāngtáng huà le	Don't talk such utter rot!
你是想让我难堪吗?	nǐ shì xiǎng ràng wǒ nánkān ma	Are you trying to embarrass me?
该书有库存[已脱销].	gāi shū yǒu kùcún yǐ tuōxiāo	The book is in/out of stock.
【谚】人皆有弱点。	yàn rén jiē yǒu ruòdiǎn	Every man hath his weak side.
温度计上显示出40C.	wēndùjì shàng xiǎnshì chū	The thermometer recorded 40C.
莱茵河发源于何处？	Láiyīn Hé fā yuányú héchù	Where is the source of the Rhine?
这伤口能留下疤痕吗?	zhè shāngkǒu néng liúxià bāhén ma	Will the cut leave a scar?
我很讨厌他那麽虚伪.	wǒ hěn tǎoyàn tā nàme xūwěi	His hypocrisy makes me sick.
刻薄的；尖锐的；锐利的	kèbó de jiānruì de ruìlì de	Tart; sharp; cutting.
油漆未乾--请勿触摸.	yóuqī wèi gān qǐng wù chùmō	Fresh paint please do not touch.
我能给她捎个口信吗?	wǒ néng gěi tā shāo gè kǒu xìn ma	Shall I take a message for her?
更新（旧信息）的信息	gēngxīn jiù xìnxī de xìnxī	Information that updates.
木头能漂浮（於水面）.	mùtou néng piāofú yú shuǐmiàn	Wood floats (in water).
我的口腔出现了溃疡。	wǒ de kǒuqiāng chūxiàn le kuìyáng	My mouth has an ulcer.
｀救救我吧,＇他哀求道.	jiù jiù wǒ ba tā āiqiú dào	`Help me,' he implored.
家谱祖先录；家族树	jiāpǔ zǔxiān lù jiāzúshù	A list of ancestors; a family tree.
你免费得到它的吗?	nǐ miǎnfèi dédào tā de ma	Do you mean that you got it for nothing?
你认为应该干预吗?	nǐ rènwéi yīnggāi gānyù ma	Do you consider it wise to interfere?
沼泽地里冒出了瘴气.	zhǎozédì lǐ mào chū le zhàng qì	A miasma rose from the marsh.
她把信转交给玛丽了.	tā bǎ xìn zhuàn jiāogěi Mǎlì le	She passed the letter to Mary.
我可以中途下车吗？	wǒ kěyǐ zhōngtú xiàchē ma	Can I make a stop- over on the way?
你或许能帮我—个忙吧?	nǐ huòxǔ néng bāng wǒ gè máng ba	You might do me a favor?
他吃了整整一听炖肉.	tā chī le zhěngzhěng yī tīng dùnròu	He ate a whole tin of stew.
他是个没什麽欲望的人.	tā shì gè méi shí mó yùwàng de rén	He is a man of few wants.
她是个爱挑剔的老太婆.	tā shì gè ài tiāoti de lǎotàipó	She's an awful old bag.
脂肪食品；脂肪沉淀	zhīfáng shípǐn zhīfáng chéndiàn	Fatty food; fatty deposits.
你们接受特殊订货吗？	nǐmen jiēshòu tèshū dìnghuò ma	Do you take special order?
你的立体声音响在哪儿？	nǐ de lìtǐshēng yīnxiǎng zàinǎr	Where's your stereo?
废除使…作废和无效	fèichú shǐ zuòfèi hé wúxiào	The act of making null and void.
你能游到河的对岸吗？	nǐ néng yóu dào hé de duì'àn ma	Can you swim across the river?
在…旁边；与…并排	zài pángbiān yǔ bìngpái	By the side of; side by side with.
他这样说真是无耻！	tā zhèyàng shuō zhēnshi wúchǐ	It was brazen of him to say so!
你想要些番茄汁吗？	nǐ xiǎngyào xiē fānqiézhī ma	Would you like some tomato juice?
你预料会有麻烦吗?	nǐ yùliào huì yǒu máfan ma	Do you anticipate (meeting) any trouble?
罗马帝国为何衰亡？	Luómǎ Dìguó wèihé shuāiwáng	What made the Roman Empire decay?
临近死亡的；快要死的	línjìn sǐwáng de kuàiyào sǐ de	Approaching death; about to die.
内幕消息；内部笑话	nèimù xiāoxi nèibù xiàohuà	Inside information; an inside joke.
艰难时期；动乱时代	jiānnán shíqī dòngluàn shídài	Hard times; a time of troubles.
我在一友人处寄膳宿。	wǒ zài yī yǒurén chǔ jì shàn sù	I'm boarding with a friend.
这个问题是不是个圈套?	zhège wèntí shìbùshì gè quāntào	Is this question a trap?
你去过长江三峡吗？	nǐ qù guò chángjiāngsānxiá ma	Have you been to the Yangtse Gorges?
